response_latency_variance,task_completion_decay,focus_fragmentation,late_night_activity_ratio,micro_goal_failure_streak,interaction_withdrawal,consistency_deviation,cognitive_drift

12,8,15,22,3,10,18,0

35,42,55,67,8,60,71,1

18,12,20,25,2,15,19,0

48,58,72,80,10,75,88,1

20,10,18,20,2,12,16,0

50,65,80,90,12,85,95,1

14,9,14,18,1,8,14,0

40,50,60,75,9,70,80,1

22,15,25,28,4,20,24,0

55,70,85,95,13,90,98,1

16,11,19,24,2,14,18,0

47,61,76,84,11,78,89,1

19,13,21,27,3,16,22,0

52,68,82,92,12,88,96,1

15,10,17,19,1,9,15,0

44,56,70,79,10,73,84,1

21,14,23,29,4,18,26,0

53,69,83,93,13,89,97,1

17,12,18,23,2,13,17,0

46,60,74,82,11,77,87,1
